"country","region","location","mine","longitude","latitude"
"Norway","Agder","Knabeana-Kvina","Knaben",7.0612238,58.6624273
"Russia","Karelia","Kostomuksha","Komsomolsk",30.6971453,64.675889
"Finland","Nothern Savonia","Leppävirta","Kotalahti",27.608083,62.579944
"Russia","Murmansk Oblast","Kovdor","Kovdorskiy",30.4263033,67.560682
"Sweden","Västerbotten","Kristineberg","Kristineberg",18.5627685,65.0644996
"Russia","Republic of Bashkortostan","Tanalyk River ","Kul-Yurt-Tau",58.2990753,52.6385062
"Russia","Yakutia","Kuranakh","Kuranakh",125.8275453,58.8305771
"Russia","Belgorod Oblast","Gubkin and Stary Oskol","Kursk Magnetic Anomaly",37.7222653,51.2599623
"Sweden","Norrbotten","Laisvall","Laisvall",17.1600543,66.1508202
"Sweden","Norrbotten","Laver","Laver",20.2269712,65.7740232
"Russia","Belgorod Oblast","Oskol River","Lebedinsky",37.7222653,51.2599623
"Canada","Newfoundland & Labrador","Little Bay Arm ","Little Bay",-56.0042147,49.5689125
"Sweden","Orebro","Ljusnarsberg","Ljusnarsberg",14.9659133,59.8933147
"Sweden","Sater","Dalarna","Loberget",15.3146,60.1918
"Norway","Trondelag","Lokken","Løkken",9.6804603,63.1232164
"Sweden","Orebro","Stora","Lovisagruvan",15.1387256,59.7140191
"Finland","Northern Savonia","Petkellahti","Luikonlahti",28.7092413,62.9351054
"Canada","Northwest Territories","Contwoyto Lake","Lupin",-111.2556299,65.7571994
"Canada","Manitoba","Lynn Lake","Lynn Lake",-101.3589673,56.8258756
"Canada","Ontario","Moira River","Madoc",-77.5373997,44.4957083
"Sweden","Norrbotten","Malmberget and Kiruna","Malmberget",20.654169,67.173325
"Canada","Ontario","Marmora","Marmoraton Mining Company",-77.6610232,44.4813087
"Canada","Manitoba","Maskwa","Maskwa nickel deposit",-95.4503577,50.4336114
"Canada","Yukon","McQuesten River","McQuesten River",-137.4479384,63.6909095
"Canada","Nunavut","Kivalliq","Meadowbank",-96.0712891,65.0226941
"Greenland","Nordøstgrønland","Nyhavn","Mestersvig",-24.0986627,72.2050466
"Canada","Nova Scotia","Strachans Brook","Mindamar",-60.4388247,45.7284457
"Russia","North Ossetia","Ardon River","Misur",44.31444,43.23833
"Canada","Ontario","Bay of Quinte","Moira River",-77.2316107,44.1775728
"Russia","Murmansk Oblast","Monche Lake; Imandra Lake; Kolozero Lake; Umbozero Lake; Pirenga Lake","Monchegorsk",32.8558033,67.912847
"Canada","Nova Scotia","Dartmouth","Montague",-63.5258688,44.7276856
"Canada","Quebec","Charest River","Montauban",-72.3491607,46.8394256
"Canada","British Columbia","Polley Lake, Quesnel Lake, and Hazeltine Creek","Mount Polley",-121.6351226,52.5430767
"Canada","British Columbia","Tsolum River","Mount Washington",-125.2189137,49.7539084
"Russia","Kola Peninsula","Chupa Estuary","Muscovite",33.6858,66.3373
"Canada","British Columbia","Buttle Lake","Myra Falls",-125.6057699,49.576039
"Canada","Nunavut","Strathcona Sound","Nanisivik",-84.6166947,73.0151206
"Canada","New Brunswick","Little River","New Brunswick",-65.6982327,47.626054
"Canada","Ontario","Sudbury","Nickel Center",-80.8449027,46.4799367
"Canada","Ontario","Sudbury","Nickel Rim",-80.8025149,46.6625545
"USA","Alaska","Norton Sound","Nome",-165.5594813,64.5120147
"Canada","Ontario","Manitouwadge","Noranda",-85.8012277,49.159594
"Russia","Krasnoyarsk Krai","Noril'sko-Pyasinskaya System","Noril’sk",88.1090863,69.3870439
"Canada","Ontario","Sudbury","NR",-80.7978187,46.4777747
"USA","Alaska","Regional","Regional",-151.0943349,64.80881484
"Canada","Atlantic Canada","NS","NS",-64.2981341,49.67249276
"Norway","Nordland","Repparfjorden","Nussir ASA",24.2824875,70.4004114
"Russia","Murmansk Oblast","Kola River","Olenegorsk",33.1930693,68.149044
"Finland","SW Finland","Lake Orijarvi ","Orijärvi",23.5371853,60.2290846
"Finland","North Karelia","Outokumpu","Outokumpu",29.0048597,62.7209585
"Russia","Murmansk Oblast","Pasvik River","Pechenganikel",30.3915533,69.449156
"Canada","Ontario","Balmer Creek","Placer Dome Campbell",-93.7523897,51.0655754
"Canada","Northwest Territories","South Nahanni River","Prairie Creek ",-127.2057647,62.4181175
"USA","Alaska","Steese Highway","Ptarmigan Creek",-146.8740396,65.2562339
"Finland","Ostrobothnia","Lake Pyhajarvi","Pyhäsalmi",25.9144764,63.6643914
"USA","Alaska","Ketchikan","Quartz Hill",-131.6413637,55.350994
"Canada","Quebec","Rouyn-Noranda","Raglan",-78.8160227,48.1953196
"Finland","Lapland","Rautuvaara","Rautuvaara",23.9301395,67.4973604
"USA","Alaska","Kotzebue","Red Dog",-163.1710781,68.0720076
"Canada","British Columbia","Slesse Cree","Red Mountain",-121.6273077,49.0074065
"Canada","Quebec","Rouyn-Noranda","Rouyn-Noranda",-79.0921567,48.2256826
"Sweden","Dalarna","Kambamyran","Rudolfsgruvan",14.6520517,61.1184661
"Canada","Manitoba","Leaf Rapids","Ruttan",-99.6502057,56.4730099
"Sweden","Vastmanland","Sala","Sala Mining Town",16.5432706,59.9223349
"Russia","Kemerovo Oblast","Salair","Salair",85.7785177,54.2462042
"Canada","Quebec","Schefferville","Schefferville",-66.9253627,54.8145501
"Canada","Nova Scotia","Seal Harbour","Seal Harbour",-61.3603,45.1012
"Russia","Murmansk Oblast","Monchegorsk","Severonickel",32.8558033,67.912847
"Canada","Ontario","Shebandowan","Shebandowan",-90.0931168,48.6276805
"Canada","Ontario","Temagami","Sherman",-79.7928187,47.0606266
"Canada","Manitoba","Sherridon","Sherritt-Gordon",-101.109757,55.13639
"Canada","Quebec","Val-d'Or","Sigma-Lamaque",-77.7578725,48.099365
"Russia","Primorsky Krai","Rudnaya River","Sikhote Alin Ridge",135.4,44.3
"Canada","Ontario","Confederation Lake","South Bay",-92.7573567,51.0771513
"Canada","Ontario","Hogarth and Caland Pit Lakes","Steep Rock",-91.6455637,48.7963745
"Canada","Ontario","Sudbury","Sudbury Operations, INCO Ltd",-81.0494627,46.4850407
"Canada","British Columbia","Kimberley","Sullivan",-115.9473647,49.654935
"Norway","Kirkenes","Bøkfjorden","Sydvaranger",30.0257143,69.7202908
"Finland","Kainuu","Impacted streams (the Kalliojoki, Salmisenpuro, Jormasjoki, Ylä-Lumijoki, Lumijoki, and Kivijoki) and five of the reference streams (the Välijoki, Joutenjoki, Korentojoki, Tervajoki, and Varisjoki)","Talvivaara",27.9947027,63.9674139
"Canada","Manitoba","Thompson","Thompson Operations, INCO Ltd ",-97.9155672,55.7586362
"USA","Alaska","Livengood and Crooked Creek","Tolovana Mining Area",-149.8483428,64.8511096
"Russia","KabardinoBalkarian Republic","Tyrnyauz","Tyrnyauz",42.9127363,43.394721
"Russia","Kemerovo Oblast","Ursk","Ursk",85.4040653,54.4499141
"Russia","Karachay-Cherkessia","Bogachukha and Urup Rivers","Urupsky",41.1709023,43.8149258
"Canada","Quebec","Val-d'Or","Val-d'Or",-77.6166317,48.0817446
"Canada","Ontario","Junction Creek","Vale Inco Ltd.",-81.0452107,46.4712147
"Norway","Rogaland","Visnes","Visnes",5.2296113,59.3567867
"Russia","Irkutsk Oblast","Bodaibó","Vitim-Olekma",114.1968089,57.85015205
"Canada","Newfoundland & Labrador","Labrador","Voisey’s Bay",-62.0977539,56.3359699
"Canada","Nova Scotia","Waverley","Waverley",-63.6235036,44.77364
"Canada","British Columbia","Jack of Clubs Lake","Wells",-121.7812266,53.0995308
"Canada","British Columbia","Buttle Lake","Westmin Resources Limited",-125.8544869,49.7040647
"Canada","Quebec","NS","Westwood",78.32,48.15
"Canada","Ontario","Sudbury","Xstrata Nickel",-81.6395448,46.5830387
"Canada","Ontario","Montreal River","Young-Davidson",-80.6832227,47.9465876
"Russia","Irkutsk Oblast","Selenga River","Zakamensk",103.3155793,50.3805864
